home_team,away_team,home_goals,away_goals,result,season
Club Brugge,Dortmund,0,1,A,2018
Liverpool,Paris S-G,3,2,H,2018
Barcelona,PSV Eindhoven,4,0,H,2018
Shakhtar,Hoffenheim,2,2,D,2018
Ajax,AEK Athens,3,0,H,2018
Manchester City,Lyon,1,2,A,2018
Valencia,Juventus,0,2,A,2018
Young Boys,Manchester Utd,0,3,A,2018
Benfica,Bayern Munich,0,2,A,2018
Viktoria PlzeÅ,CSKA Moscow,2,2,D,2018
Real Madrid,Roma,3,0,H,2018
Real Madrid,Roma,3,0,H,2018
Valencia,Juventus,0,2,A,2018
Young Boys,Manchester Utd,0,3,A,2018
Manchester City,Lyon,1,2,A,2018
Shakhtar,Hoffenheim,2,2,D,2018
Ajax,AEK Athens,3,0,H,2018
Viktoria PlzeÅ,CSKA Moscow,2,2,D,2018
Benfica,Bayern Munich,0,2,A,2018
Hoffenheim,Manchester City,1,2,A,2018
Juventus,Young Boys,3,0,H,2018
Manchester Utd,Valencia,0,0,D,2018
Bayern Munich,Ajax,1,1,D,2018
Lyon,Shakhtar,2,2,D,2018
Roma,Viktoria PlzeÅ,5,0,H,2018
AEK Athens,Benfica,2,3,A,2018
AEK Athens,Benfica,2,3,A,2018
CSKA Moscow,Real Madrid,1,0,H,2018
Roma,Viktoria PlzeÅ,5,0,H,2018
Lyon,Shakhtar,2,2,D,2018
Bayern Munich,Ajax,1,1,D,2018
Manchester Utd,Valencia,0,0,D,2018
Juventus,Young Boys,3,0,H,2018
Hoffenheim,Manchester City,1,2,A,2018
CSKA Moscow,Real Madrid,1,0,H,2018
PSV Eindhoven,Inter,1,2,A,2018
Tottenham,Barcelona,2,4,A,2018
Porto,Galatasaray,1,0,H,2018
Loko Moscow,Schalke 04,0,1,A,2018
Paris S-G,Red Star,6,1,H,2018
Dortmund,Monaco,3,0,H,2018
AtlÃ©tico Madrid,Club Brugge,3,1,H,2018
AtlÃ©tico Madrid,Club Brugge,3,1,H,2018
Paris S-G,Red Star,6,1,H,2018
Loko Moscow,Schalke 04,0,1,A,2018
Porto,Galatasaray,1,0,H,2018
Napoli,Liverpool,1,0,H,2018
Tottenham,Barcelona,2,4,A,2018
Dortmund,Monaco,3,0,H,2018
PSV Eindhoven,Inter,1,2,A,2018
Napoli,Liverpool,1,0,H,2018
Shakhtar,Manchester City,0,3,A,2018
Young Boys,Valencia,1,1,D,2018
AEK Athens,Bayern Munich,0,2,A,2018
Manchester Utd,Juventus,0,1,A,2018
Roma,CSKA Moscow,3,0,H,2018
Hoffenheim,Lyon,3,3,D,2018
Ajax,Benfica,1,0,H,2018
Real Madrid,Viktoria PlzeÅ,2,1,H,2018
Real Madrid,Viktoria PlzeÅ,2,1,H,2018
Roma,CSKA Moscow,3,0,H,2018
AEK Athens,Bayern Munich,0,2,A,2018
Shakhtar,Manchester City,0,3,A,2018
Ajax,Benfica,1,0,H,2018
Young Boys,Valencia,1,1,D,2018
Hoffenheim,Lyon,3,3,D,2018
Manchester Utd,Juventus,0,1,A,2018
PSV Eindhoven,Tottenham,2,2,D,2018
Loko Moscow,Porto,1,3,A,2018
Paris S-G,Napoli,2,2,D,2018
Barcelona,Inter,2,0,H,2018
Galatasaray,Schalke 04,0,0,D,2018
Barcelona,Inter,2,0,H,2018
Liverpool,Red Star,4,0,H,2018
Dortmund,AtlÃ©tico Madrid,4,0,H,2018
PSV Eindhoven,Tottenham,2,2,D,2018
Paris S-G,Napoli,2,2,D,2018
Dortmund,AtlÃ©tico Madrid,4,0,H,2018
Liverpool,Red Star,4,0,H,2018
Club Brugge,Monaco,1,1,D,2018
Loko Moscow,Porto,1,3,A,2018
Galatasaray,Schalke 04,0,0,D,2018
Club Brugge,Monaco,1,1,D,2018
AtlÃ©tico Madrid,Dortmund,2,0,H,2018
Schalke 04,Galatasaray,2,0,H,2018
Napoli,Paris S-G,1,1,D,2018
Tottenham,PSV Eindhoven,2,1,H,2018
Napoli,Paris S-G,1,1,D,2018
Tottenham,PSV Eindhoven,2,1,H,2018
Porto,Loko Moscow,4,1,H,2018
Monaco,Club Brugge,0,4,A,2018
Schalke 04,Galatasaray,2,0,H,2018
AtlÃ©tico Madrid,Dortmund,2,0,H,2018
Porto,Loko Moscow,4,1,H,2018
Inter,Barcelona,1,1,D,2018
Monaco,Club Brugge,0,4,A,2018
Inter,Barcelona,1,1,D,2018
Lyon,Hoffenheim,2,2,D,2018
Valencia,Young Boys,3,1,H,2018
Benfica,Ajax,1,1,D,2018
Manchester City,Shakhtar,6,0,H,2018
CSKA Moscow,Roma,1,2,A,2018
Juventus,Manchester Utd,1,2,A,2018
Viktoria PlzeÅ,Real Madrid,0,5,A,2018
Bayern Munich,AEK Athens,2,0,H,2018
Lyon,Hoffenheim,2,2,D,2018
Benfica,Ajax,1,1,D,2018
CSKA Moscow,Roma,1,2,A,2018
Juventus,Manchester Utd,1,2,A,2018
Bayern Munich,AEK Athens,2,0,H,2018
Valencia,Young Boys,3,1,H,2018
Manchester City,Shakhtar,6,0,H,2018
Viktoria PlzeÅ,Real Madrid,0,5,A,2018
Manchester Utd,Young Boys,1,0,H,2018
Juventus,Valencia,1,0,H,2018
Lyon,Manchester City,2,2,D,2018
CSKA Moscow,Viktoria PlzeÅ,1,2,A,2018
Roma,Real Madrid,0,2,A,2018
AEK Athens,Ajax,0,2,A,2018
Juventus,Valencia,1,0,H,2018
CSKA Moscow,Viktoria PlzeÅ,1,2,A,2018
Lyon,Manchester City,2,2,D,2018
Manchester Utd,Young Boys,1,0,H,2018
AEK Athens,Ajax,0,2,A,2018
Roma,Real Madrid,0,2,A,2018
Bayern Munich,Benfica,5,1,H,2018
Hoffenheim,Shakhtar,2,3,A,2018
Hoffenheim,Shakhtar,2,3,A,2018
Bayern Munich,Benfica,5,1,H,2018
PSV Eindhoven,Barcelona,1,2,A,2018
Porto,Schalke 04,3,1,H,2018
PSV Eindhoven,Barcelona,1,2,A,2018
Loko Moscow,Galatasaray,2,0,H,2018
Paris S-G,Liverpool,2,1,H,2018
Dortmund,Club Brugge,0,0,D,2018
Napoli,Red Star,3,1,H,2018
Tottenham,Inter,1,0,H,2018
Porto,Schalke 04,3,1,H,2018
Loko Moscow,Galatasaray,2,0,H,2018
Paris S-G,Liverpool,2,1,H,2018
Dortmund,Club Brugge,0,0,D,2018
Napoli,Red Star,3,1,H,2018
Tottenham,Inter,1,0,H,2018
Schalke 04,Loko Moscow,1,0,H,2018
Galatasaray,Porto,2,3,A,2018
Monaco,Dortmund,0,2,A,2018
Schalke 04,Loko Moscow,1,0,H,2018
Liverpool,Napoli,1,0,H,2018
Galatasaray,Porto,2,3,A,2018
Red Star,Paris S-G,1,4,A,2018
Monaco,Dortmund,0,2,A,2018
Club Brugge,AtlÃ©tico Madrid,0,0,D,2018
Barcelona,Tottenham,1,1,D,2018
Red Star,Paris S-G,1,4,A,2018
Inter,PSV Eindhoven,1,1,D,2018
Liverpool,Napoli,1,0,H,2018
Inter,PSV Eindhoven,1,1,D,2018
Barcelona,Tottenham,1,1,D,2018
Club Brugge,AtlÃ©tico Madrid,0,0,D,2018
Benfica,AEK Athens,1,0,H,2018
Real Madrid,CSKA Moscow,0,3,A,2018
Viktoria PlzeÅ,Roma,2,1,H,2018
Valencia,Manchester Utd,2,1,H,2018
Manchester City,Hoffenheim,2,1,H,2018
Ajax,Bayern Munich,3,3,D,2018
Young Boys,Juventus,2,1,H,2018
Shakhtar,Lyon,1,1,D,2018
Ajax,Bayern Munich,3,3,D,2018
Young Boys,Juventus,2,1,H,2018
Valencia,Manchester Utd,2,1,H,2018
Benfica,AEK Athens,1,0,H,2018
Manchester City,Hoffenheim,2,1,H,2018
Real Madrid,CSKA Moscow,0,3,A,2018
Viktoria PlzeÅ,Roma,2,1,H,2018
Shakhtar,Lyon,1,1,D,2018
Manchester Utd,Paris S-G,0,2,A,2018
Manchester Utd,Paris S-G,0,2,A,2018
Tottenham,Dortmund,3,0,H,2018
Tottenham,Dortmund,3,0,H,2018
Ajax,Real Madrid,1,2,A,2018
Ajax,Real Madrid,1,2,A,2018
Liverpool,Bayern Munich,0,0,D,2018
Lyon,Barcelona,0,0,D,2018
Liverpool,Bayern Munich,0,0,D,2018
Lyon,Barcelona,0,0,D,2018
AtlÃ©tico Madrid,Juventus,2,0,H,2018
Schalke 04,Manchester City,2,3,A,2018
AtlÃ©tico Madrid,Juventus,2,0,H,2018
Schalke 04,Manchester City,2,3,A,2018
Real Madrid,Ajax,1,4,A,2018
Dortmund,Tottenham,0,1,A,2018
Real Madrid,Ajax,1,4,A,2018
Dortmund,Tottenham,0,1,A,2018
Paris S-G,Manchester Utd,1,3,A,2018
Paris S-G,Manchester Utd,1,3,A,2018
Porto,Roma,3,1,H,2018
Porto,Roma,3,1,H,2018
Juventus,AtlÃ©tico Madrid,3,0,H,2018
Manchester City,Schalke 04,7,0,H,2018
Manchester City,Schalke 04,7,0,H,2018
Juventus,AtlÃ©tico Madrid,3,0,H,2018
Bayern Munich,Liverpool,1,3,A,2018
Bayern Munich,Liverpool,1,3,A,2018
Barcelona,Lyon,5,1,H,2018
Barcelona,Lyon,5,1,H,2018
Tottenham,Manchester City,1,0,H,2018
Liverpool,Porto,2,0,H,2018
Tottenham,Manchester City,1,0,H,2018
Liverpool,Porto,2,0,H,2018
Ajax,Juventus,1,1,D,2018
Manchester Utd,Barcelona,0,1,A,2018
Ajax,Juventus,1,1,D,2018
Manchester Utd,Barcelona,0,1,A,2018
Juventus,Ajax,1,2,A,2018
Barcelona,Manchester Utd,3,0,H,2018
Juventus,Ajax,1,2,A,2018
Barcelona,Manchester Utd,3,0,H,2018
Manchester City,Tottenham,4,3,H,2018
Porto,Liverpool,1,4,A,2018
Porto,Liverpool,1,4,A,2018
Manchester City,Tottenham,4,3,H,2018
Tottenham,Ajax,0,1,A,2018
Tottenham,Ajax,0,1,A,2018
Barcelona,Liverpool,3,0,H,2018
Barcelona,Liverpool,3,0,H,2018
Liverpool,Barcelona,4,0,H,2018
Liverpool,Barcelona,4,0,H,2018
Ajax,Tottenham,2,3,A,2018
Ajax,Tottenham,2,3,A,2018
Tottenham,Liverpool,0,2,A,2018
Tottenham,Liverpool,0,2,A,2018
Dortmund,Barcelona,0,0,D,2019
Benfica,RB Leipzig,1,2,A,2019
Benfica,RB Leipzig,1,2,A,2019
Lyon,Zenit,1,1,D,2019
Napoli,Liverpool,2,0,H,2019
RB Salzburg,Genk,6,2,H,2019
Inter,Slavia Prague,1,1,D,2019
Ajax,Lille,3,0,H,2019
Napoli,Liverpool,2,0,H,2019
Inter,Slavia Prague,1,1,D,2019
Lyon,Zenit,1,1,D,2019
RB Salzburg,Genk,6,2,H,2019
Dortmund,Barcelona,0,0,D,2019
Ajax,Lille,3,0,H,2019
Chelsea,Valencia,0,1,A,2019
Chelsea,Valencia,0,1,A,2019
AtlÃ©tico Madrid,Juventus,2,2,D,2019
Olympiacos,Tottenham,2,2,D,2019
AtlÃ©tico Madrid,Juventus,2,2,D,2019
Paris S-G,Real Madrid,3,0,H,2019
Club Brugge,Galatasaray,0,0,D,2019
Paris S-G,Real Madrid,3,0,H,2019
Bayern Munich,Red Star,3,0,H,2019
Bayern Munich,Red Star,3,0,H,2019
Dinamo Zagreb,Atalanta,4,0,H,2019
Dinamo Zagreb,Atalanta,4,0,H,2019
Leverkusen,Loko Moscow,1,2,A,2019
Leverkusen,Loko Moscow,1,2,A,2019
Shakhtar,Manchester City,0,3,A,2019
Shakhtar,Manchester City,0,3,A,2019
Club Brugge,Galatasaray,0,0,D,2019
Olympiacos,Tottenham,2,2,D,2019
Manchester City,Dinamo Zagreb,2,0,H,2019
Tottenham,Bayern Munich,2,7,A,2019
Loko Moscow,AtlÃ©tico Madrid,0,2,A,2019
Juventus,Leverkusen,3,0,H,2019
Atalanta,Shakhtar,1,2,A,2019
Real Madrid,Club Brugge,2,2,D,2019
Red Star,Olympiacos,3,1,H,2019
Galatasaray,Paris S-G,0,1,A,2019
Manchester City,Dinamo Zagreb,2,0,H,2019
Tottenham,Bayern Munich,2,7,A,2019
Atalanta,Shakhtar,1,2,A,2019
Real Madrid,Club Brugge,2,2,D,2019
Red Star,Olympiacos,3,1,H,2019
Loko Moscow,AtlÃ©tico Madrid,0,2,A,2019
Galatasaray,Paris S-G,0,1,A,2019
Juventus,Leverkusen,3,0,H,2019
Liverpool,RB Salzburg,4,3,H,2019
Slavia Prague,Dortmund,0,2,A,2019
Barcelona,Inter,2,1,H,2019
Genk,Napoli,0,0,D,2019
Genk,Napoli,0,0,D,2019
RB Leipzig,Lyon,0,2,A,2019
Valencia,Ajax,0,3,A,2019
Zenit,Benfica,3,1,H,2019
Valencia,Ajax,0,3,A,2019
Lille,Chelsea,1,2,A,2019
RB Leipzig,Lyon,0,2,A,2019
Barcelona,Inter,2,1,H,2019
Liverpool,RB Salzburg,4,3,H,2019
Zenit,Benfica,3,1,H,2019
Lille,Chelsea,1,2,A,2019
Slavia Prague,Dortmund,0,2,A,2019
Tottenham,Red Star,5,0,H,2019
Club Brugge,Paris S-G,0,5,A,2019
Juventus,Loko Moscow,2,1,H,2019
Olympiacos,Bayern Munich,2,3,A,2019
Galatasaray,Real Madrid,0,1,A,2019
Manchester City,Atalanta,5,1,H,2019
Shakhtar,Dinamo Zagreb,2,2,D,2019
Juventus,Loko Moscow,2,1,H,2019
Olympiacos,Bayern Munich,2,3,A,2019
Club Brugge,Paris S-G,0,5,A,2019
Manchester City,Atalanta,5,1,H,2019
Tottenham,Red Star,5,0,H,2019
Shakhtar,Dinamo Zagreb,2,2,D,2019
AtlÃ©tico Madrid,Leverkusen,1,0,H,2019
AtlÃ©tico Madrid,Leverkusen,1,0,H,2019
Galatasaray,Real Madrid,0,1,A,2019
Genk,Liverpool,1,4,A,2019
Ajax,Chelsea,0,1,A,2019
RB Leipzig,Zenit,2,1,H,2019
Slavia Prague,Barcelona,1,2,A,2019
Genk,Liverpool,1,4,A,2019
Lille,Valencia,1,1,D,2019
RB Salzburg,Napoli,2,3,A,2019
Inter,Dortmund,2,0,H,2019
Benfica,Lyon,2,1,H,2019
RB Leipzig,Zenit,2,1,H,2019
Ajax,Chelsea,0,1,A,2019
RB Salzburg,Napoli,2,3,A,2019
Benfica,Lyon,2,1,H,2019
Slavia Prague,Barcelona,1,2,A,2019
Lille,Valencia,1,1,D,2019
Inter,Dortmund,2,0,H,2019
Napoli,RB Salzburg,1,1,D,2019
Valencia,Lille,4,1,H,2019
Zenit,RB Leipzig,0,2,A,2019
Chelsea,Ajax,4,4,D,2019
Liverpool,Genk,2,1,H,2019
Barcelona,Slavia Prague,0,0,D,2019
Valencia,Lille,4,1,H,2019
Barcelona,Slavia Prague,0,0,D,2019
Liverpool,Genk,2,1,H,2019
Lyon,Benfica,3,1,H,2019
Chelsea,Ajax,4,4,D,2019
Lyon,Benfica,3,1,H,2019
Dortmund,Inter,3,2,H,2019
Napoli,RB Salzburg,1,1,D,2019
Zenit,RB Leipzig,0,2,A,2019
Dortmund,Inter,3,2,H,2019
Real Madrid,Galatasaray,6,0,H,2019
Loko Moscow,Juventus,1,2,A,2019
Atalanta,Manchester City,1,1,D,2019
Leverkusen,AtlÃ©tico Madrid,2,1,H,2019
Paris S-G,Club Brugge,1,0,H,2019
Red Star,Tottenham,0,4,A,2019
Dinamo Zagreb,Shakhtar,3,3,D,2019
Red Star,Tottenham,0,4,A,2019
Real Madrid,Galatasaray,6,0,H,2019
Paris S-G,Club Brugge,1,0,H,2019
Leverkusen,AtlÃ©tico Madrid,2,1,H,2019
Atalanta,Manchester City,1,1,D,2019
Loko Moscow,Juventus,1,2,A,2019
Bayern Munich,Olympiacos,2,0,H,2019
Bayern Munich,Olympiacos,2,0,H,2019
Dinamo Zagreb,Shakhtar,3,3,D,2019
Red Star,Bayern Munich,0,6,A,2019
Tottenham,Olympiacos,4,2,H,2019
Galatasaray,Club Brugge,1,1,D,2019
Loko Moscow,Leverkusen,0,2,A,2019
Real Madrid,Paris S-G,2,2,D,2019
Juventus,AtlÃ©tico Madrid,1,0,H,2019
Juventus,AtlÃ©tico Madrid,1,0,H,2019
Red Star,Bayern Munich,0,6,A,2019
Real Madrid,Paris S-G,2,2,D,2019
Loko Moscow,Leverkusen,0,2,A,2019
Galatasaray,Club Brugge,1,1,D,2019
Tottenham,Olympiacos,4,2,H,2019
Manchester City,Shakhtar,1,1,D,2019
Atalanta,Dinamo Zagreb,2,0,H,2019
Manchester City,Shakhtar,1,1,D,2019
Atalanta,Dinamo Zagreb,2,0,H,2019
Valencia,Chelsea,2,2,D,2019
Zenit,Lyon,2,0,H,2019
Lille,Ajax,0,2,A,2019
Liverpool,Napoli,1,1,D,2019
Genk,RB Salzburg,1,4,A,2019
Slavia Prague,Inter,1,3,A,2019
Zenit,Lyon,2,0,H,2019
Barcelona,Dortmund,3,1,H,2019
Valencia,Chelsea,2,2,D,2019
Liverpool,Napoli,1,1,D,2019
Genk,RB Salzburg,1,4,A,2019
Slavia Prague,Inter,1,3,A,2019
Lille,Ajax,0,2,A,2019
RB Leipzig,Benfica,2,2,D,2019
Barcelona,Dortmund,3,1,H,2019
RB Leipzig,Benfica,2,2,D,2019
Chelsea,Lille,2,1,H,2019
Dortmund,Slavia Prague,2,1,H,2019
Ajax,Valencia,0,1,A,2019
Lyon,RB Leipzig,2,2,D,2019
Benfica,Zenit,3,0,H,2019
Inter,Barcelona,1,2,A,2019
Napoli,Genk,4,0,H,2019
Dortmund,Slavia Prague,2,1,H,2019
RB Salzburg,Liverpool,0,2,A,2019
Lyon,RB Leipzig,2,2,D,2019
Inter,Barcelona,1,2,A,2019
Chelsea,Lille,2,1,H,2019
Benfica,Zenit,3,0,H,2019
RB Salzburg,Liverpool,0,2,A,2019
Napoli,Genk,4,0,H,2019
Ajax,Valencia,0,1,A,2019
Dinamo Zagreb,Manchester City,1,4,A,2019
Shakhtar,Atalanta,0,3,A,2019
Paris S-G,Galatasaray,5,0,H,2019
AtlÃ©tico Madrid,Loko Moscow,2,0,H,2019
Leverkusen,Juventus,0,2,A,2019
Club Brugge,Real Madrid,1,3,A,2019
Olympiacos,Red Star,1,0,H,2019
Dinamo Zagreb,Manchester City,1,4,A,2019
Bayern Munich,Tottenham,3,1,H,2019
Shakhtar,Atalanta,0,3,A,2019
Paris S-G,Galatasaray,5,0,H,2019
AtlÃ©tico Madrid,Loko Moscow,2,0,H,2019
Leverkusen,Juventus,0,2,A,2019
Club Brugge,Real Madrid,1,3,A,2019
Olympiacos,Red Star,1,0,H,2019
Bayern Munich,Tottenham,3,1,H,2019
Dortmund,Paris S-G,2,1,H,2019
AtlÃ©tico Madrid,Liverpool,1,0,H,2019
Dortmund,Paris S-G,2,1,H,2019
AtlÃ©tico Madrid,Liverpool,1,0,H,2019
Tottenham,RB Leipzig,0,1,A,2019
Atalanta,Valencia,4,1,H,2019
Tottenham,RB Leipzig,0,1,A,2019
Atalanta,Valencia,4,1,H,2019
Napoli,Barcelona,1,1,D,2019
Chelsea,Bayern Munich,0,3,A,2019
Napoli,Barcelona,1,1,D,2019
Chelsea,Bayern Munich,0,3,A,2019
Lyon,Juventus,1,0,H,2019
Lyon,Juventus,1,0,H,2019
Real Madrid,Manchester City,1,2,A,2019
Real Madrid,Manchester City,1,2,A,2019
Valencia,Atalanta,3,4,A,2019
RB Leipzig,Tottenham,3,0,H,2019
RB Leipzig,Tottenham,3,0,H,2019
Valencia,Atalanta,3,4,A,2019
Paris S-G,Dortmund,2,0,H,2019
Liverpool,AtlÃ©tico Madrid,2,3,A,2019
Paris S-G,Dortmund,2,0,H,2019
Liverpool,AtlÃ©tico Madrid,2,3,A,2019
Juventus,Lyon,2,1,H,2019
Manchester City,Real Madrid,2,1,H,2019
Manchester City,Real Madrid,2,1,H,2019
Juventus,Lyon,2,1,H,2019
Bayern Munich,Chelsea,4,1,H,2019
Barcelona,Napoli,3,1,H,2019
Bayern Munich,Chelsea,4,1,H,2019
Barcelona,Napoli,3,1,H,2019
Atalanta,Paris S-G,1,2,A,2019
Atalanta,Paris S-G,1,2,A,2019
RB Leipzig,AtlÃ©tico Madrid,2,1,H,2019
RB Leipzig,AtlÃ©tico Madrid,2,1,H,2019
Barcelona,Bayern Munich,2,8,A,2019
Barcelona,Bayern Munich,2,8,A,2019
Manchester City,Lyon,1,3,A,2019
Manchester City,Lyon,1,3,A,2019
RB Leipzig,Paris S-G,0,3,A,2019
RB Leipzig,Paris S-G,0,3,A,2019
Lyon,Bayern Munich,0,3,A,2019
Lyon,Bayern Munich,0,3,A,2019
Paris S-G,Bayern Munich,0,1,A,2019
Paris S-G,Bayern Munich,0,1,A,2019
Rennes,Krasnodar,1,1,D,2020
Paris S-G,Manchester Utd,1,2,A,2020
Lazio,Dortmund,3,1,H,2020
Chelsea,Sevilla,0,0,D,2020
Dynamo Kyiv,Juventus,0,2,A,2020
Zenit,Club Brugge,1,2,A,2020
RB Leipzig,BaÅakÅehir,2,0,H,2020
Barcelona,FerencvÃ¡ros,5,1,H,2020
Rennes,Krasnodar,1,1,D,2020
RB Leipzig,BaÅakÅehir,2,0,H,2020
Barcelona,FerencvÃ¡ros,5,1,H,2020
Lazio,Dortmund,3,1,H,2020
Chelsea,Sevilla,0,0,D,2020
Dynamo Kyiv,Juventus,0,2,A,2020
Zenit,Club Brugge,1,2,A,2020
Paris S-G,Manchester Utd,1,2,A,2020
Real Madrid,Shakhtar,2,3,A,2020
Midtjylland,Atalanta,0,4,A,2020
Inter,M'Gladbach,2,2,D,2020
Ajax,Liverpool,0,1,A,2020
Ajax,Liverpool,0,1,A,2020
Midtjylland,Atalanta,0,4,A,2020
Olympiacos,Marseille,1,0,H,2020
RB Salzburg,Loko Moscow,2,2,D,2020
Bayern Munich,AtlÃ©tico Madrid,4,0,H,2020
Manchester City,Porto,3,1,H,2020
Bayern Munich,AtlÃ©tico Madrid,4,0,H,2020
Manchester City,Porto,3,1,H,2020
RB Salzburg,Loko Moscow,2,2,D,2020
Real Madrid,Shakhtar,2,3,A,2020
Inter,M'Gladbach,2,2,D,2020
Olympiacos,Marseille,1,0,H,2020
Marseille,Manchester City,0,3,A,2020
Atalanta,Ajax,2,2,D,2020
AtlÃ©tico Madrid,RB Salzburg,3,2,H,2020
M'Gladbach,Real Madrid,2,2,D,2020
Liverpool,Midtjylland,2,0,H,2020
Shakhtar,Inter,0,0,D,2020
Porto,Olympiacos,2,0,H,2020
Liverpool,Midtjylland,2,0,H,2020
Loko Moscow,Bayern Munich,1,2,A,2020
Marseille,Manchester City,0,3,A,2020
Atalanta,Ajax,2,2,D,2020
AtlÃ©tico Madrid,RB Salzburg,3,2,H,2020
M'Gladbach,Real Madrid,2,2,D,2020
Loko Moscow,Bayern Munich,1,2,A,2020
Shakhtar,Inter,0,0,D,2020
Porto,Olympiacos,2,0,H,2020
Sevilla,Rennes,1,0,H,2020
Krasnodar,Chelsea,0,4,A,2020
BaÅakÅehir,Paris S-G,0,2,A,2020
Dortmund,Zenit,2,0,H,2020
Club Brugge,Lazio,1,1,D,2020
FerencvÃ¡ros,Dynamo Kyiv,2,2,D,2020
Juventus,Barcelona,0,2,A,2020
FerencvÃ¡ros,Dynamo Kyiv,2,2,D,2020
Sevilla,Rennes,1,0,H,2020
Club Brugge,Lazio,1,1,D,2020
Dortmund,Zenit,2,0,H,2020
BaÅakÅehir,Paris S-G,0,2,A,2020
Krasnodar,Chelsea,0,4,A,2020
Manchester Utd,RB Leipzig,5,0,H,2020
Manchester Utd,RB Leipzig,5,0,H,2020
Juventus,Barcelona,0,2,A,2020
Loko Moscow,AtlÃ©tico Madrid,1,1,D,2020
Midtjylland,Ajax,1,2,A,2020
RB Salzburg,Bayern Munich,2,6,A,2020
Manchester City,Olympiacos,3,0,H,2020
Porto,Marseille,3,0,H,2020
Shakhtar,M'Gladbach,0,6,A,2020
Real Madrid,Inter,3,2,H,2020
Atalanta,Liverpool,0,5,A,2020
Loko Moscow,AtlÃ©tico Madrid,1,1,D,2020
RB Salzburg,Bayern Munich,2,6,A,2020
Midtjylland,Ajax,1,2,A,2020
Real Madrid,Inter,3,2,H,2020
Atalanta,Liverpool,0,5,A,2020
Manchester City,Olympiacos,3,0,H,2020
Shakhtar,M'Gladbach,0,6,A,2020
Porto,Marseille,3,0,H,2020
BaÅakÅehir,Manchester Utd,2,1,H,2020
FerencvÃ¡ros,Juventus,1,4,A,2020
Club Brugge,Dortmund,0,3,A,2020
Sevilla,Krasnodar,3,2,H,2020
Zenit,Lazio,1,1,D,2020
Chelsea,Rennes,3,0,H,2020
BaÅakÅehir,Manchester Utd,2,1,H,2020
Barcelona,Dynamo Kyiv,2,1,H,2020
Zenit,Lazio,1,1,D,2020
Sevilla,Krasnodar,3,2,H,2020
Club Brugge,Dortmund,0,3,A,2020
FerencvÃ¡ros,Juventus,1,4,A,2020
Barcelona,Dynamo Kyiv,2,1,H,2020
Chelsea,Rennes,3,0,H,2020
RB Leipzig,Paris S-G,2,1,H,2020
RB Leipzig,Paris S-G,2,1,H,2020
Dortmund,Club Brugge,3,0,H,2020
Paris S-G,RB Leipzig,1,0,H,2020
Lazio,Zenit,3,1,H,2020
Krasnodar,Sevilla,1,2,A,2020
Dynamo Kyiv,Barcelona,0,4,A,2020
Manchester Utd,BaÅakÅehir,4,1,H,2020
Juventus,FerencvÃ¡ros,2,1,H,2020
Dortmund,Club Brugge,3,0,H,2020
Juventus,FerencvÃ¡ros,2,1,H,2020
Dynamo Kyiv,Barcelona,0,4,A,2020
Manchester Utd,BaÅakÅehir,4,1,H,2020
Krasnodar,Sevilla,1,2,A,2020
Lazio,Zenit,3,1,H,2020
Paris S-G,RB Leipzig,1,0,H,2020
Inter,Real Madrid,0,2,A,2020
Ajax,Midtjylland,3,1,H,2020
Olympiacos,Manchester City,0,1,A,2020
M'Gladbach,Shakhtar,4,0,H,2020
Marseille,Porto,0,2,A,2020
Liverpool,Atalanta,0,2,A,2020
Bayern Munich,RB Salzburg,3,1,H,2020
AtlÃ©tico Madrid,Loko Moscow,0,0,D,2020
Ajax,Midtjylland,3,1,H,2020
Inter,Real Madrid,0,2,A,2020
Marseille,Porto,0,2,A,2020
Liverpool,Atalanta,0,2,A,2020
Olympiacos,Manchester City,0,1,A,2020
M'Gladbach,Shakhtar,4,0,H,2020
AtlÃ©tico Madrid,Loko Moscow,0,0,D,2020
Bayern Munich,RB Salzburg,3,1,H,2020
AtlÃ©tico Madrid,Bayern Munich,1,1,D,2020
Liverpool,Ajax,1,0,H,2020
Porto,Manchester City,0,0,D,2020
Loko Moscow,RB Salzburg,1,3,A,2020
Marseille,Olympiacos,2,1,H,2020
Atalanta,Midtjylland,1,1,D,2020
M'Gladbach,Inter,2,3,A,2020
AtlÃ©tico Madrid,Bayern Munich,1,1,D,2020
M'Gladbach,Inter,2,3,A,2020
Atalanta,Midtjylland,1,1,D,2020
Marseille,Olympiacos,2,1,H,2020
Loko Moscow,RB Salzburg,1,3,A,2020
Porto,Manchester City,0,0,D,2020
Liverpool,Ajax,1,0,H,2020
Shakhtar,Real Madrid,2,0,H,2020
Shakhtar,Real Madrid,2,0,H,2020
Dortmund,Lazio,1,1,D,2020
Dortmund,Lazio,1,1,D,2020
BaÅakÅehir,RB Leipzig,3,4,A,2020
Club Brugge,Zenit,3,0,H,2020
Juventus,Dynamo Kyiv,3,0,H,2020
FerencvÃ¡ros,Barcelona,0,3,A,2020
FerencvÃ¡ros,Barcelona,0,3,A,2020
Sevilla,Chelsea,0,4,A,2020
Krasnodar,Rennes,1,0,H,2020
BaÅakÅehir,RB Leipzig,3,4,A,2020
Club Brugge,Zenit,3,0,H,2020
Juventus,Dynamo Kyiv,3,0,H,2020
Krasnodar,Rennes,1,0,H,2020
